МАТЧ,ВРЕМЯ,МОНТАЖЕР,Ссылка на готовый хайлайт (на диске),YOUTUBE КХЛ,,,,,,,,,,,,,,,,,,,,,
Спартак - Драконы,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
22 октября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Лада - Динамо Мн,0.75,Житников,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Локомотив,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
СКА - ЦСКА,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Торпедо,0.8125,Осипов,,,,,,,,,,,,,,,,,,,,,,,
23 октября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Салават Юлаев,0.64583333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Северсталь,0.6875,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Автомобилист - Трактор,0.70833333333333337,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Металлург,0.79166666666666663,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Спартак - Динамо М,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
24 октября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Амур,0.72916666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Лада - Торпедо,0.75,Житников,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - Драконы,0.79861111111111116,Осипов,,,,,,,,,,,,,,,,,,,,,,,
СКА - ХК Сочи,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
25 октября (суббота),,,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Трактор,0.5625,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Салават Юлаев,0.58333333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Адмирал,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
26 октября (воскресенье),,,,,,,,,,,,,,,,,,,,,,,,,
ЦСКА - Амур,0.70833333333333337,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - Автомобилист,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
